2020-07-03 11:14:34 status unpacked base-passwd:arm64 3.5.44
2020-07-03 11:14:34 status unpacked base-passwd:arm64 3.5.44
2020-07-03 11:14:34 install bash:arm64 <none> 4.4.18-2ubuntu1
2020-07-03 11:14:34 status half-installed bash:arm64 4.4.18-2ubuntu1
2020-07-03 11:14:35 status unpacked bash:arm64 4.4.18-2ubuntu1
2020-07-03 11:14:35 status unpacked bash:arm64 4.4.18-2ubuntu1
2020-07-03 11:14:35 install bsdutils:arm64 <none> 1:2.31.1-0.4ubuntu3
2020-07-03 11:14:35 status half-installed bsdutils:arm64 1:2.31.1-0.4ubuntu3
2020-07-03 11:14:35 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2020-07-03 11:14:35 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2020-07-03 11:14:35 install coreutils:arm64 <none> 8.28-1ubuntu1
2020-07-03 11:14:35 status half-installed coreutils:arm64 8.28-1ubuntu1
2020-07-03 11:14:36 status unpacked coreutils:arm64 8.28-1ubuntu1
2020-07-03 11:14:36 status unpacked coreutils:arm64 8.28-1ubuntu1
2020-07-03 11:14:36 install dash:arm64 <none> 0.5.8-2.10
2020-07-03 11:14:36 status half-installed dash:arm64 0.5.8-2.10
2020-07-03 11:14:37 status unpacked dash:arm64 0.5.8-2.10
2020-07-03 11:14:37 status unpacked dash:arm64 0.5.8-2.10
2020-07-03 11:14:37 install debconf:all <none> 1.5.66
2020-07-03 11:14:37 status half-installed debconf:all 1.5.66
2020-07-03 11:14:37 status unpacked debconf:all 1.5.66
2020-07-03 11:14:37 status unpacked debconf:all 1.5.66
2020-07-03 11:14:37 install debianutils:arm64 <none> 4.8.4
2020-07-03 11:14:37 status half-installed debianutils:arm64 4.8.4
2020-07-03 11:14:37 status unpacked debianutils:arm64 4.8.4
2020-07-03 11:14:38 status unpacked debianutils:arm64 4.8.4
2020-07-03 11:14:38 install diffutils:arm64 <none> 1:3.6-1
2020-07-03 11:14:38 status half-installed diffutils:arm64 1:3.6-1
2020-07-03 11:14:38 status unpacked diffutils:arm64 1:3.6-1
2020-07-03 11:14:38 status unpacked diffutils:arm64 1:3.6-1
2020-07-03 11:14:38 upgrade dpkg:arm64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-07-03 11:14:38 status half-configured dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:38 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:38 status half-installed dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:39 status half-installed dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:39 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:39 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:39 install e2fsprogs:arm64 <none> 1.44.1-1
2020-07-03 11:14:39 status half-installed e2fsprogs:arm64 1.44.1-1
2020-07-03 11:14:39 status unpacked e2fsprogs:arm64 1.44.1-1
2020-07-03 11:14:39 status unpacked e2fsprogs:arm64 1.44.1-1
2020-07-03 11:14:39 install fdisk:arm64 <none> 2.31.1-0.4ubuntu3
2020-07-03 11:14:39 status half-installed fdisk:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:39 status unpacked fdisk:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:39 status unpacked fdisk:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:40 install findutils:arm64 <none> 4.6.0+git+20170828-2
2020-07-03 11:14:40 status half-installed findutils:arm64 4.6.0+git+20170828-2
2020-07-03 11:14:40 status unpacked findutils:arm64 4.6.0+git+20170828-2
2020-07-03 11:14:40 status unpacked findutils:arm64 4.6.0+git+20170828-2
2020-07-03 11:14:40 install gcc-8-base:arm64 <none> 8-20180414-1ubuntu2
2020-07-03 11:14:40 status half-installed gcc-8-base:arm64 8-20180414-1ubuntu2
2020-07-03 11:14:40 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2020-07-03 11:14:40 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2020-07-03 11:14:40 install grep:arm64 <none> 3.1-2
2020-07-03 11:14:40 status half-installed grep:arm64 3.1-2
2020-07-03 11:14:40 status unpacked grep:arm64 3.1-2
2020-07-03 11:14:41 status unpacked grep:arm64 3.1-2
2020-07-03 11:14:41 install gzip:arm64 <none> 1.6-5ubuntu1
2020-07-03 11:14:41 status half-installed gzip:arm64 1.6-5ubuntu1
2020-07-03 11:14:41 status unpacked gzip:arm64 1.6-5ubuntu1
2020-07-03 11:14:41 status unpacked gzip:arm64 1.6-5ubuntu1
2020-07-03 11:14:41 install hostname:arm64 <none> 3.20
2020-07-03 11:14:41 status half-installed hostname:arm64 3.20
2020-07-03 11:14:41 status unpacked hostname:arm64 3.20
2020-07-03 11:14:41 status unpacked hostname:arm64 3.20
2020-07-03 11:14:41 install init-system-helpers:all <none> 1.51
2020-07-03 11:14:41 status half-installed init-system-helpers:all 1.51
2020-07-03 11:14:41 status unpacked init-system-helpers:all 1.51
2020-07-03 11:14:41 status unpacked init-system-helpers:all 1.51
2020-07-03 11:14:42 install libacl1:arm64 <none> 2.2.52-3build1
2020-07-03 11:14:42 status half-installed libacl1:arm64 2.2.52-3build1
2020-07-03 11:14:42 status unpacked libacl1:arm64 2.2.52-3build1
2020-07-03 11:14:42 status unpacked libacl1:arm64 2.2.52-3build1
2020-07-03 11:14:42 install libattr1:arm64 <none> 1:2.4.47-2build1
2020-07-03 11:14:42 status half-installed libattr1:arm64 1:2.4.47-2build1
2020-07-03 11:14:42 status unpacked libattr1:arm64 1:2.4.47-2build1
2020-07-03 11:14:42 status unpacked libattr1:arm64 1:2.4.47-2build1
2020-07-03 11:14:42 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2020-07-03 11:14:42 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2020-07-03 11:14:42 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-07-03 11:14:42 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-07-03 11:14:42 install libaudit1:arm64 <none> 1:2.8.2-1ubuntu1
2020-07-03 11:14:42 status half-installed libaudit1:arm64 1:2.8.2-1ubuntu1
2020-07-03 11:14:43 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2020-07-03 11:14:43 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2020-07-03 11:14:43 install libblkid1:arm64 <none> 2.31.1-0.4ubuntu3
2020-07-03 11:14:43 status half-installed libblkid1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:43 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:43 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:43 install libbz2-1.0:arm64 <none> 1.0.6-8.1
2020-07-03 11:14:43 status half-installed libbz2-1.0:arm64 1.0.6-8.1
2020-07-03 11:14:43 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2020-07-03 11:14:43 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2020-07-03 11:14:43 install libc-bin:arm64 <none> 2.27-3ubuntu1
2020-07-03 11:14:43 status half-installed libc-bin:arm64 2.27-3ubuntu1
2020-07-03 11:14:44 status unpacked libc-bin:arm64 2.27-3ubuntu1
2020-07-03 11:14:44 status unpacked libc-bin:arm64 2.27-3ubuntu1
2020-07-03 11:14:44 upgrade libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2020-07-03 11:14:44 status half-configured libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:44 status unpacked libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:44 status half-installed libc6:arm64 2.27-3ubuntu1
